Outcome,Variant,Sex,Model,Predictors,N train,N test,Prevalence test,AUC,CV AUC mean,CV AUC sd,CV F1 macro,Train AUC,Threshold,Brier,Calibration slope,Calibration intercept,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,F1 macro,Kappa,TP,FP,TN,FN,Accuracy at threshold,Sensitivity at threshold,Specificity at threshold,PPV at threshold,NPV at threshold,F1 at threshold,F1 macro at threshold,Kappa at threshold,TP at threshold,FP at threshold,TN at threshold,FN at threshold,AUC CI low,AUC CI high,Sensitivity CI low,Sensitivity CI high,Specificity CI low,Specificity CI high,Brier CI low,Brier CI high,Fit time (s)
Combined,PostIndex,Men,Random forest,574,4207,1052,0.4363,0.771,0.7795,0.0079,0.7309,0.9999,0.4974,0.1949,1.3251,-0.0117,0.7148,0.5839,0.8162,0.7109,0.717,0.6411,0.7023,0.4083,268,109,484,191,0.7148,0.5882,0.8128,0.7087,0.7183,0.6429,0.7028,0.4089,270,111,482,189,0.7414,0.7986,0.5457,0.6281,0.7823,0.8426,0.1857,0.2048,97.8
Combined,PostIndex,Men,Neural network,574,4207,1052,0.4363,0.7537,0.752,0.0169,0.7041,0.9305,0.5022,0.1993,0.7047,0.037,0.7082,0.573,0.8128,0.7032,0.7109,0.6315,0.695,0.394,263,111,482,196,0.7082,0.5686,0.8162,0.7054,0.7097,0.6297,0.6944,0.3934,261,109,484,198,0.7233,0.7854,0.5214,0.6105,0.7846,0.8458,0.1857,0.2138,519.3
Combined,PostIndex,Men,XGBoost,574,4207,1052,0.4363,0.7842,0.7913,0.0069,0.742,1.0,0.5982,0.2132,0.3366,0.417,0.731,0.6383,0.8027,0.7146,0.7414,0.6743,0.7226,0.4464,293,117,476,166,0.7338,0.6166,0.8246,0.7313,0.7353,0.669,0.7232,0.4491,283,104,489,176,0.7546,0.8132,0.5717,0.6573,0.7941,0.855,0.1933,0.2348,242.5
Combined,PostIndex,Men,Gradient boosting,574,4207,1052,0.4363,0.7948,0.8012,0.0048,0.7527,0.8956,0.4882,0.1791,0.9355,-0.0199,0.7433,0.6166,0.8415,0.7507,0.7393,0.677,0.732,0.4675,283,94,499,176,0.7471,0.6253,0.8415,0.7533,0.7437,0.6833,0.7364,0.4759,287,94,499,172,0.7667,0.8214,0.5828,0.6667,0.8127,0.8694,0.166,0.1927,100.9
Combined,PostIndex,Men,Histogram gradient boosting,574,4207,1052,0.4363,0.8019,0.8011,0.0058,0.7534,0.9701,0.4988,0.177,0.937,-0.0104,0.7424,0.6144,0.8415,0.75,0.7382,0.6754,0.7309,0.4654,282,94,499,177,0.7414,0.6144,0.8398,0.748,0.7378,0.6746,0.7301,0.4635,282,95,498,177,0.7745,0.829,0.5734,0.6586,0.8097,0.8687,0.164,0.1905,58.3
Combined,PostIndex,Men,Bagging,574,4207,1052,0.4363,0.78,0.7933,0.008,0.7517,0.9439,0.495,0.1852,1.1239,-0.0381,0.7395,0.6078,0.8415,0.748,0.7349,0.6707,0.7276,0.459,279,94,499,180,0.7414,0.6144,0.8398,0.748,0.7378,0.6746,0.7301,0.4635,282,95,498,177,0.7515,0.8075,0.5705,0.6551,0.8096,0.8676,0.1743,0.197,848.2
Combined,PostIndex,Men,SGD classifier,574,4207,1052,0.4363,0.7652,0.7576,0.0138,0.7141,0.8485,0.5074,0.2,0.5522,-0.0224,0.7177,0.6318,0.7841,0.6938,0.7334,0.6613,0.7096,0.4202,290,128,465,169,0.7177,0.6231,0.7909,0.6976,0.7305,0.6582,0.7089,0.419,286,124,469,173,0.7347,0.794,0.5786,0.6608,0.7552,0.8229,0.1848,0.2175,31.9
Combined,PostIndex,Men,K-nearest neighbors,574,4207,1052,0.4363,0.5754,0.5935,0.0167,0.5483,1.0,0.4635,0.2481,0.4365,0.225,0.597,0.2832,0.8398,0.5778,0.6022,0.3801,0.5408,0.1305,130,95,498,329,0.5846,0.3595,0.7589,0.5357,0.6048,0.4302,0.5517,0.1229,165,143,450,294,0.5393,0.61,0.3173,0.3991,0.7245,0.7916,0.2378,0.2591,33.0
Combined,Baseline,Women,Penalised logistic regression,570,4632,1158,0.4542,0.6684,0.6645,0.0046,0.6164,0.7267,0.4729,0.2277,0.819,-0.0096,0.6269,0.5342,0.7041,0.6004,0.6449,0.5654,0.6193,0.2406,281,187,445,245,0.6313,0.5951,0.6614,0.5939,0.6624,0.5945,0.6282,0.2564,313,214,418,213,0.6385,0.6982,0.5524,0.638,0.623,0.6977,0.2189,0.2366,1415.5
Combined,Baseline,Women,Random forest,570,4632,1158,0.4542,0.6445,0.6452,0.0085,0.5986,0.77,0.4414,0.234,1.3929,0.0292,0.6071,0.424,0.7595,0.5947,0.613,0.495,0.5867,0.188,223,152,480,303,0.6071,0.5779,0.6313,0.5661,0.6425,0.572,0.6044,0.2089,304,233,399,222,0.6137,0.6764,0.5348,0.6212,0.5922,0.6699,0.2287,0.2395,89.0
