Outcome,Variant,Sex,Model,Parameter,Value
Antihypertensives,PostIndex,Women,Random forest,n_estimators,110
Antihypertensives,PostIndex,Women,Neural network,alpha,1e-06
Antihypertensives,PostIndex,Women,Neural network,early_stopping,False
Antihypertensives,PostIndex,Women,Neural network,hidden_layer_sizes,"(900, 900)"
Antihypertensives,PostIndex,Women,Neural network,learning_rate_init,0.0001
Antihypertensives,PostIndex,Women,XGBoost,max_depth,30
Antihypertensives,PostIndex,Women,XGBoost,n_estimators,120
Antihypertensives,PostIndex,Women,XGBoost,subsample,0.9
Antihypertensives,PostIndex,Women,Gradient boosting,max_features,0.66
Antihypertensives,PostIndex,Women,Gradient boosting,n_estimators,160
Antihypertensives,PostIndex,Women,Gradient boosting,n_iter_no_change,10
Antihypertensives,PostIndex,Women,Gradient boosting,subsample,0.5
Antihypertensives,PostIndex,Women,Gradient boosting,validation_fraction,0.1
Antihypertensives,PostIndex,Women,Histogram gradient boosting,learning_rate,0.17
Antihypertensives,PostIndex,Women,Histogram gradient boosting,max_depth,5
Antihypertensives,PostIndex,Women,Histogram gradient boosting,n_iter_no_change,10
Antihypertensives,PostIndex,Women,Histogram gradient boosting,validation_fraction,0.28
Antihypertensives,PostIndex,Women,Bagging,max_features,0.94
Antihypertensives,PostIndex,Women,Bagging,max_samples,0.4
Antihypertensives,PostIndex,Women,Bagging,n_estimators,150
Antihypertensives,PostIndex,Women,SGD classifier,alpha,0.000431
Antihypertensives,PostIndex,Women,SGD classifier,early_stopping,False
Antihypertensives,PostIndex,Women,SGD classifier,loss,log_loss
Antihypertensives,PostIndex,Women,SGD classifier,n_iter_no_change,50
Antihypertensives,PostIndex,Women,SGD classifier,validation_fraction,0.49
Antihypertensives,PostIndex,Women,K-nearest neighbors,n_neighbors,5
Antihypertensives,PostIndex,Women,K-nearest neighbors,p,1
Antihypertensives,PostIndex,Women,K-nearest neighbors,weights,distance
Antihypertensives,PostIndex,Men,Penalised logistic regression,C,0.05623413251903491
Antihypertensives,PostIndex,Men,Penalised logistic regression,l1_ratio,0.8
Antihypertensives,PostIndex,Men,Random forest,max_depth,335
Antihypertensives,PostIndex,Men,Random forest,n_estimators,190
Antihypertensives,PostIndex,Men,Neural network,alpha,0.000941
Antihypertensives,PostIndex,Men,Neural network,early_stopping,False
Antihypertensives,PostIndex,Men,Neural network,hidden_layer_sizes,"(370,)"
Antihypertensives,PostIndex,Men,Neural network,learning_rate_init,0.0001
Antihypertensives,PostIndex,Men,XGBoost,max_depth,10
Antihypertensives,PostIndex,Men,XGBoost,n_estimators,170
Antihypertensives,PostIndex,Men,XGBoost,subsample,0.9
Antihypertensives,PostIndex,Men,Gradient boosting,max_features,0.54
Antihypertensives,PostIndex,Men,Gradient boosting,n_estimators,70
Antihypertensives,PostIndex,Men,Gradient boosting,n_iter_no_change,10
Antihypertensives,PostIndex,Men,Gradient boosting,subsample,0.5
Antihypertensives,PostIndex,Men,Gradient boosting,validation_fraction,0.09
Antihypertensives,PostIndex,Men,Histogram gradient boosting,learning_rate,0.17
Antihypertensives,PostIndex,Men,Histogram gradient boosting,max_depth,50
Antihypertensives,PostIndex,Men,Histogram gradient boosting,n_iter_no_change,20
Antihypertensives,PostIndex,Men,Histogram gradient boosting,validation_fraction,0.05
Antihypertensives,PostIndex,Men,Bagging,max_features,0.9
Antihypertensives,PostIndex,Men,Bagging,max_samples,0.2
Antihypertensives,PostIndex,Men,Bagging,n_estimators,190
Antihypertensives,PostIndex,Men,SGD classifier,alpha,0.000511
Antihypertensives,PostIndex,Men,SGD classifier,early_stopping,False
Antihypertensives,PostIndex,Men,SGD classifier,loss,log_loss
Antihypertensives,PostIndex,Men,SGD classifier,n_iter_no_change,40
Antihypertensives,PostIndex,Men,SGD classifier,validation_fraction,0.06
Antihypertensives,PostIndex,Men,K-nearest neighbors,n_neighbors,5
Antihypertensives,PostIndex,Men,K-nearest neighbors,p,1
Antihypertensives,PostIndex,Men,K-nearest neighbors,weights,distance
